date,temp,prec,hum
7/6/1967 0:00,14.3,6.1,70
7/7/1967 0:00,15.4,0,70
7/8/1967 0:00,16.1,0,75
7/9/1967 0:00,17.9,1.3,77
7/10/1967 0:00,15.5,0.8,94
7/11/1967 0:00,16.8,0,82
7/12/1967 0:00,16.7,0,71
7/13/1967 0:00,16.3,0,76
7/14/1967 0:00,15.5,0,60
7/15/1967 0:00,14.7,0,70
7/16/1967 0:00,14.6,0,67
7/17/1967 0:00,15.6,0,71
7/18/1967 0:00,15.9,0,64
7/19/1967 0:00,17,0,66
7/20/1967 0:00,18,0,57
7/21/1967 0:00,17.8,13.6,75
7/22/1967 0:00,18,0,75
7/23/1967 0:00,17.1,0,75
7/24/1967 0:00,17.1,0,78
7/25/1967 0:00,17.5,0,77
7/26/1967 0:00,16.3,5,76
7/27/1967 0:00,17.4,0,78
7/28/1967 0:00,18.1,0,81
7/29/1967 0:00,18.5,0,75
7/30/1967 0:00,19.4,6,81
7/31/1967 0:00,19.6,0,80
8/1/1967 0:00,18.8,0,82
8/2/1967 0:00,19.8,0,83
8/3/1967 0:00,22.4,2.4,73
8/4/1967 0:00,20.1,0,78
8/5/1967 0:00,18.8,0,80
8/6/1967 0:00,17,13.7,80
8/7/1967 0:00,14.4,0,58
8/8/1967 0:00,14,0,64
8/9/1967 0:00,13.9,0.3,86
8/10/1967 0:00,17,3.2,78
8/11/1967 0:00,19.9,0,69
8/12/1967 0:00,19.6,0,74
8/13/1967 0:00,15.8,0,89
8/14/1967 0:00,16.3,12.8,85
8/15/1967 0:00,16.7,3.2,84
8/16/1967 0:00,16.1,0,77
8/17/1967 0:00,17.2,4.9,86
8/18/1967 0:00,17.2,5.3,80
8/19/1967 0:00,16.2,0.7,78
8/20/1967 0:00,15.3,14.5,81
8/21/1967 0:00,15.5,0.4,67
8/22/1967 0:00,13.7,0,80
8/23/1967 0:00,12.9,0,83
8/24/1967 0:00,12.2,0,88
8/25/1967 0:00,12.9,0,85
8/26/1967 0:00,14.6,6.6,88
8/27/1967 0:00,15.9,0,74
8/28/1967 0:00,13.8,1.3,89
8/29/1967 0:00,13.5,0,87
8/30/1967 0:00,14,0,84
8/31/1967 0:00,15.5,0,78
9/1/1967 0:00,14.5,0.3,82
9/2/1967 0:00,14.8,4.1,79
9/3/1967 0:00,14.9,2.2,79
9/4/1967 0:00,19.4,0,69
9/5/1967 0:00,19.2,0,75
9/6/1967 0:00,19.9,0,74
9/7/1967 0:00,21.2,0,63
9/8/1967 0:00,16.5,10.2,94
9/9/1967 0:00,18,0,88
9/10/1967 0:00,17.3,0,73
9/11/1967 0:00,16.8,0.1,82
9/12/1967 0:00,16,0,82
9/13/1967 0:00,13.4,0,73
9/14/1967 0:00,11.3,0,66
9/15/1967 0:00,10.4,0,75
9/16/1967 0:00,11.2,0,82
9/17/1967 0:00,12.6,0,80
9/18/1967 0:00,11.3,0,75
9/19/1967 0:00,11.1,0,74
9/20/1967 0:00,11.5,0,73
9/21/1967 0:00,11.4,2.1,77
9/22/1967 0:00,11.3,4.8,91
9/23/1967 0:00,12.2,10.4,88
9/24/1967 0:00,13.2,22,91
9/25/1967 0:00,12.2,8.7,86
9/26/1967 0:00,9.5,0,87
9/27/1967 0:00,13.4,1.4,84
9/28/1967 0:00,11,2.6,76
9/29/1967 0:00,11.5,0.4,67
9/30/1967 0:00,11.2,0,77
10/1/1967 0:00,11.6,11.7,89
10/2/1967 0:00,14.2,0,87
10/3/1967 0:00,13,0,85
10/4/1967 0:00,12,0,87
10/5/1967 0:00,14.1,5.9,87
10/6/1967 0:00,11,0.6,85
10/7/1967 0:00,10.3,0.5,87
10/8/1967 0:00,11.8,23.2,88
10/9/1967 0:00,11.7,2.2,84
10/10/1967 0:00,9.8,0.3,80
10/11/1967 0:00,11.2,2.7,69
10/12/1967 0:00,9.7,0.3,87
10/13/1967 0:00,14.7,0.7,87
10/14/1967 0:00,12.9,5.2,78
10/15/1967 0:00,11.9,0.9,82
10/16/1967 0:00,11.8,8.5,83
10/17/1967 0:00,10.4,13,74
10/18/1967 0:00,8.9,13.6,70
10/19/1967 0:00,8.2,0.7,63
10/20/1967 0:00,8.4,26.2,92
10/21/1967 0:00,10.8,6.8,92
10/22/1967 0:00,11,15.2,92
10/23/1967 0:00,9.1,0.4,73
10/24/1967 0:00,9.1,0,87
10/25/1967 0:00,9,1.3,88
10/26/1967 0:00,9.8,0,81
10/27/1967 0:00,11.2,0,83
10/28/1967 0:00,11,4,86
10/29/1967 0:00,10.4,0,86
10/30/1967 0:00,10.1,1.8,87
10/31/1967 0:00,7.4,0,85
11/1/1967 0:00,2.8,0,92
11/2/1967 0:00,7.8,0,87
11/3/1967 0:00,11.3,0,83
11/4/1967 0:00,11.1,0.4,90
11/5/1967 0:00,9.7,0,92
11/6/1967 0:00,12.2,0,79
11/7/1967 0:00,10.3,2.7,82
11/8/1967 0:00,5,0,95
11/9/1967 0:00,3.2,0,96
11/10/1967 0:00,4,1.6,97
11/11/1967 0:00,7.2,5.2,94
11/12/1967 0:00,4.5,6.4,88
11/13/1967 0:00,5.8,13.9,83
11/14/1967 0:00,6.3,0.9,76
11/15/1967 0:00,6.1,3.5,89
11/16/1967 0:00,7.3,12,89
11/17/1967 0:00,5.8,0.8,72
11/18/1967 0:00,5.8,12.4,83
11/19/1967 0:00,2.1,0.4,75
11/20/1967 0:00,2.1,0,86
11/21/1967 0:00,6.4,7.3,88
11/22/1967 0:00,6.3,0,73
11/23/1967 0:00,2.6,0,72
11/24/1967 0:00,-0.6,0,79
11/25/1967 0:00,-0.4,0,74
11/26/1967 0:00,-2.2,0,81
11/27/1967 0:00,-7,0,93
11/28/1967 0:00,-8.5,0,83
11/29/1967 0:00,-4.2,0.2,81
